id,name,all_raw_mediums
10,Martin Wong,"One from an illustrated book with thirty screenprints bound in a lead, wood, and flexible plastic cover | Illustrated Book | Drawings & Prints, Acrylic on canvas | Painting | Painting & Sculpture, Felt-tip pen on paper | Drawing | Drawings & Prints, Acrylic on canvas | Paintings, Screeprint and stencil | Prints, Etching and aquatint | Prints, Acrylic on linen | Paintings, Pencil on paper | Drawings, Screenprint | Prints, Oil on canvas | Paintings, black ballpoint pen on wove paper | Drawing, acrylic on canvas | Painting"
11,Josh Kline,"Commercial refrigerator, light box and blended liquids in bottles | Sculpture | Painting & Sculpture, Digital C-print, metal frame, hardware, pump, water, LED lights, glass, acrylic, colored gels, paint | Sculpture, 3D-printed sculptures in plaster, inkjet ink and cyanoacrylate, with janitor cart and LED lights | Sculpture, 3D-printed sculptures in plaster, inkjet ink, and cyanoacrylate; janitor cart, and LEDs | Sculpture"
12,Byron Kim,"Oil and wax on wood, forty parts | Paintings, Brush and ink on paper | Drawings, Watermark | Prints, Oil on wood panels | Painting, oil and wax on lauan plywood, birch plywood, and plywood | Painting, encaustic on linen | Painting"
13,Paul Pfeiffer,"Standard-definition video (color, silent; 2:07 min.), 5.6-inch monitor, and metal armature | Installation | Media and Performance, Two digital videos (color, silent; 0:04 min. and 0:06 min.), two LCD monitors, and two metal armatures | Installation | Media and Performance, Standard-definition video (color, silent; 2:51 min.), painted 5.6-inch monitor, and metal armature | Installation | Media and Performance, Inkjet print | Prints, Chromogenic print | Photographs, Video, with LCD monitor, DVD player, and cast plastic armature | Sculpture, Video, color, silent, 0:39 min., looped with metal armature | Sculpture, Video installation, color, silent, 0:05 min. looped, with projector and mounting arm | Sculpture, Video installation, color, silent, 0:15 min. looped, with projector and mounting arm | Sculpture"
14,Carlos Villa,"Acrylic on canvas | Painting, Acrylic, collaged acrylic on board, feathers, and painted chicken bones with hair, string, and fabric on paper | Drawings, Acrylic and feathers on canvas | Paintings"
15,Korakrit Arunanondchai,"Video installation, color, sound, 25:29 min., with denim pillows | Installations, Video, color, sound, 1:01 min. | Video, Video, color, sound, 2:46 min. | Video, Video, color, sound, 8:48 min. | Video, Video, color, sound, 22 min. | Video, Video, color, sound, 0:50 min. | Video, Two-channel video installation, color, sound, 20 min. | Installations, Two-channel video, color, sound, looped, with two monitors, metal, wood, plastic, digital print on canvas, digital print on vinyl, fluorescent lights, and plastic flowers | Installations"
16,Shu Lea Cheang,HTML | Digital Art
17,Cristina Lei Rodriguez,Book with a sculptured plastic slipcase | Drawings and Prints | Books
18,Albert Chong,Gelatin silver print | Photography
19,Michael Joo,"Multiple of plastic anatomical model | Multiple | Drawings & Prints, Video, color, sound, 8 min. | Video"
20,Laura Kina,Various media | Printed Materials | Paintings
21,Alfonso Ossorio,"Oil on Masonite | Paintings, Wood, metal, painted tin, plastic, bone, glass, wire, bolts, and shell | Sculpture, Artist's book | Books, Woodcut | Prints, Woodcut, printed in blue | Prints, watercolor and black ink on paper | Drawing, Watercolor, wax, and ink on paper | Drawing | Drawings & Prints, Watercolor and wax on board | Drawing | Drawings & Prints, Lithograph | Print | Drawings & Prints, Synthetic resin with nails, coins, steel wool, tooth, rope, screw eyes, shells, belt, key, and hinges on board | Painting | Painting & Sculpture, Glass and plastic marbles, West African wood figures, tree fragments, pebbles, geode, iron nails, coral, seashells, wood shoe trees, lobster claws, sword, painted human foot bones and vertebra, faux pearls, plastic and wooden letters, plastic sheets and scraps, wood scraps, painted wood, animal claws and bones, domino, glass eyes, bell, and other materials on plastic sheets mounted on wood | Painting | Painting & Sculpture, Ink and wax on board | Drawings, Screenprint | Prints, Assemblage on plastic panel | Paintings, Assemblage on composition board | Paintings, Assemblage and pigmented resin on composition board, with wood frame | Paintings, Wax crayon, transparent and opaque watercolor, brush and ink, pen and ink, collage, and graphite pencil on paper mounted on board | Drawings, Assemblage on panel | Paintings, Oil, enamel and plaster on composition board | Paintings, Watercolor and wax crayon on paper | Drawings, Opaque watercolor, brush and ink, and pen and ink on paper | Drawings, Transparent and opaque watercolor and pen and ink on paper | Drawings, ink, wax, and watercolor on Whatman watercolor board | Drawing, color lithograph on Arches wove paper | Print, accordion-bound volume with 8 etchings on Fabriano PWP paper, text by Lewis Thomas, title page and colophon, plus 1 etching mounted to cover of black clamshell box | Volume, etching on Fabriano PWP paper mounted to cover of black clamshell box | Print, etching on Fabriano PWP paper | Print, etching in blue on Fabriano PWP paper | Print, etching in black and red on Fabriano PWP paper | Print, etching in black and yellow on Fabriano PWP paper | Print, wood engraving | Print"
22,Stephanie Syjuco,"Inkjet print | Photograph | Photography, Inkjet print | Prints, Iinkjet print | Prints, Photogravure | Photographs, Pigment print | Graphic Arts | Print, Archival pigment inkjet | Photography | Photoprint, Inkjet print | Print | Photographs | Object Record Structure: Whole, Inkjet prints | Print | Photographs | Object Record Structure: Whole"
23,Saya Woolfalk,"Video, color, sound, 3:17 min. | Video"
24,Shizu Saldamando,screenprint on cotton paño | Graphic Arts | Print
25,Roger Shimomura,"Handmade book with ten color lithographs on ivory wove paper | Prints and Drawings, Color screen print on wove paper | Prints, acrylic on canvas | Painting, Lithograph | Prints"
26,Tiffany Chung,embroidery on fabric | Decorative Arts | Fiber
27,Tom Nakashima,"hand-colored etching and photo etching on paper | Graphic Arts | Print, handmade paper | Graphic Arts | Print, two-color etching on paper | Graphic Arts | Print, oil on canvas | Painting"
28,Patty Chang,"Two-channel video (color, sound), Video (color, sound) | Media and Performance, Inkjet print | Prints"
29,Hung Liu,"Oil on canvas, wood and glass | Paintings, Sculpture, Oil on canvas, two panels | Painting and Sculpture, screenprint | Graphic Arts | Print, oil on canvas, painted wood panel, metal support rod, and metal bird cage with wood and ceramic appendages | Metal, Oil, Ceramic | Painting, Woodcut, embossing, and collage | Prints, Oil on canvas with cannon shell | Paintings, Lithograph and photolithograph, aluminum gold leaf, and collage | Prints, lithograph in black on chine collé on Arches Cover White paper | Portfolio, screenprint in black over colored pulp on handmade paper | Print, oil on canvas | Painting"
