id,artist,title,alt_text,description,date_created,date_acquired_or_updated,institution,medium,image_url,mediums_parsed
W326,27,Samurai,,,1990,1991,2,two-color etching on paper | Graphic Arts | Print,https://ids.si.edu/ids/deliveryService?id=SAAM-1991.37.2_1&max=2600,"[""M02""]"
W327,27,Sanctuary at Western Sunset,,"The translucent fish swimming to the center of this painting is a self-portrait of the artist. Adopted by Tom Nakashima as a symbol of fluidity, it represents his journey through life. In many of his works, he uses this animal's associations with Christianity and Asian cultures to explore his Japanese American heritage.

The fish approaches the threshold of a large chapel, a place of refuge inspired by the Arena Chapel in Padua, Italy, decorated with religious-themed frescoes by Giotto, a famous fourteenth-century Italian painter. For Nakashima, his structure serves as a path to Japan and represents safe passage across landscapes, times, and cultures.",1992,2008,2,oil on canvas | Painting,https://ids.si.edu/ids/deliveryService?id=SAAM-2008.38_1&max=2600,"[""M04""]"
W328,0,Great Rock of Inner Seeking,"A rough-hewn block of basalt sits upright on a rectangular stone base on a pale pink stone floor against a stone wall. In this photograph, we are off the front left corner of the free-standing sculpture in a space filled with natural light. The tongue-shaped basalt is narrower from front to back and wider from side to side. It is about three times taller than it is wide at its widest. Some of the dark brown basalt running up the center of the block is smooth but most is pitted. Strips up either side have been carved to expose rough, copper-colored stone, some of which has flaked away. The tan stone base is speckled densely with gray, and the leaves of an indoor but mature tree bow into the top left corner of the photograph.",,1974,1976,7,basalt | Sculpture,"https://api.nga.gov/iiif/20e46356-82dc-4926-bbc2-7328e074d625/full/!200,200/0/default.jpg","[""M06""]"
W329,21,Perpetual Sacrifice,,,1949,1979,7,"ink, wax, and watercolor on Whatman watercolor board | Drawing","https://api.nga.gov/iiif/0771d73b-ef13-4a03-84a7-fcca2040797e/full/!200,200/0/default.jpg","[""M03""]"
W330,5,Chrysanthemums,,,1965,1980,7,color lithograph | Print,,"[""M02""]"
W331,5,Flowers I (Title Page),"The image shows an arrangement of large outlined flowers overlapping each other, with the word ""flowers"" written across them. The color palette consists of a cream background and earthy brown lines outlining the flowers and text. The outlined flowers cover most of the image, with the letters of the word ""flowers"" evenly spaced and integrated with the floral outlines, extending across the center horizontally.",,1965,1983,7,lithograph (stone) in red-brown on German Etching paper | Portfolio,"https://api.nga.gov/iiif/e43cb48a-844c-43fc-82cb-f71d3b8c2fc2/full/!200,200/0/default.jpg","[""M02""]"
W332,5,Flowers,,,1965,1983,7,portfolio w/ 12 color lithographs (stone) including title page and colophon on German Etching paper | Portfolio,,"[""M02""]"
W333,5,Flowers II,"The image displays a series of concentric shapes with clean lines radiating outward from the center in a spiral pattern. The arrangement forms a symmetrical floral motif resembling blooming petals, with overlapping layers. The design evokes the structure of a sunflower or dahlia.",,1965,1983,7,lithograph (stone) in black on German Etching paper | Portfolio,"https://api.nga.gov/iiif/e06420d0-66e5-4368-accc-4e6d4349b15e/full/!200,200/0/default.jpg","[""M02""]"
W334,5,Flowers III,"The image shows a large flower drawing with elaborate shading and texture. The color scheme is black, grayscale, and white. The flower is centered on the page with its petals extending outwards.",,1965,1983,7,lithograph (stone) in black on German Etching paper | Portfolio,"https://api.nga.gov/iiif/34b18aa1-144f-40c5-a945-76a10f520550/full/!200,200/0/default.jpg","[""M02""]"
W335,5,Flowers IV,"The image displays circular shapes with intricate, swirling lines forming an abstract pattern. The shapes vary in size and intensity, with some filled densely with dark lines and others appearing lighter and more sparse. The arrangement of circles resembles clusters of cells or bubbles floating together.",,1965,1983,7,lithograph (stone) in black on German Etching paper | Portfolio,"https://api.nga.gov/iiif/87b876fd-b923-4fc1-813f-3e5a70008a2b/full/!200,200/0/default.jpg","[""M02""]"
W336,5,Flowers V,,,1965,1983,7,"lithograph (stone) in red, green and violet on German Etching paper | Portfolio","https://api.nga.gov/iiif/3c9e144f-a380-41a1-8626-178cd734eb8e/full/!200,200/0/default.jpg","[""M02""]"
W337,5,Flowers VI,"The image shows a cluster of overlapping flowers in red and pink hues, with green leaves scattered throughout. The color palette includes reds, greens, and hints of purple on a pale background. The flowers are arranged in a circular pattern toward the image's center, with negative space around them highlighting their details.",,1965,1983,7,"lithograph (stone) in red, green and violet on German Etching paper | Portfolio","https://api.nga.gov/iiif/19d39991-0e70-4e50-a687-ea9b044eb871/full/!200,200/0/default.jpg","[""M02""]"
W338,5,Flowers VII,"The image features overlapping irregular shapes in shades of purple, red, and green. The shapes are scattered across the central area, loosely forming a spherical cluster. The colors and shapes are denser in the middle, tapering off towards the edges. The outlines are fluid and organic, reminiscent of natural forms.",,1965,1983,7,"lithograph (stone) in red, green and violet on German Etching paper | Portfolio","https://api.nga.gov/iiif/f0dca0c9-d909-4d74-a26c-e26286f634c3/full/!200,200/0/default.jpg","[""M02""]"
W339,5,Flowers VIII,"The image shows a large flower with broad petals as the central object, with a smaller flower on a curved stem below it. The color palette is predominantly shades of burgundy against an off-white background. The larger flower is positioned at the top, occupying the central area of the image, while the smaller flower with its curved stem is situated below, slightly to the left.",,1965,1983,7,lithograph (stone) in brown-red on German Etching paper | Portfolio,"https://api.nga.gov/iiif/c664debc-7604-4b17-8cc3-2f3f784d0cbe/full/!200,200/0/default.jpg","[""M02""]"
W340,5,Flowers IX,"The image shows interconnected abstract shapes forming a circular pattern with a network of lines extending outward. The design resembles organic growth of coral or snowflake veneers, with a central star-like formation enhancing symmetry and balance. The outer edges exhibit irregular undulations similar to a lace doily or decorative mandala.",,1965,1983,7,lithograph (stone) in brown-red on German Etching paper | Portfolio,"https://api.nga.gov/iiif/6d069d79-9cde-4025-a669-c6bbd8885193/full/!200,200/0/default.jpg","[""M02""]"
W341,5,Flowers X,"The image shows a circular formation composed of curved, petal-like shapes and flowing lines in a deep, rich color against a muted green background. The overall appearance resembles a cluster of overlapping flower petals or slices of fruit, intricately arranged in a symmetrical pattern.",,1965,1983,7,"lithograph (stone) in brown-red, green and gray onGerman Etching paper | Portfolio","https://api.nga.gov/iiif/f017d443-6dbf-4411-943c-812d7c43698a/full/!200,200/0/default.jpg","[""M02""]"
W342,5,Flowers XI,"The image depicts an abstract composition with dark textured shapes on a green background, resembling the silhouette of a plant or flower. The shapes create a visual connection to botanical structures.",,1965,1983,7,"lithograph (stone) in brown-red, green and gray onGerman Etching paper | Portfolio","https://api.nga.gov/iiif/3c2cfbb3-8f59-4c0b-afba-8ccb8d3f79f9/full/!200,200/0/default.jpg","[""M02""]"
W343,5,Flowers XII (Colophon),"This is a photograph of a printed text. The sheet of paper contains hand-printed text in a reddish-brown ink. The text explains the production of a set of twelve lithographs titled ""FLOWERS,"" hand-pulled from stone and aluminum by Ernest de Soto and Walter Gabrielson in 1965 at Tamarind Lithography Workshop. It mentions the edition is limited to twenty impressions and includes details about the binding done by Schuberth Bookbindery in San Francisco. In the top left corner is a decorative star-like symbol also printed in the same color ink. The sheet has deckled edges.",,1965,1983,7,lithograph (stone) in red-brown on German Etching paper | Portfolio,"https://api.nga.gov/iiif/ce22e277-1661-44aa-ba23-bee5c4cbdfc2/full/!200,200/0/default.jpg","[""M02""]"
W344,5,Desert Plant,"This print shows a network of interlocking pink lines radiating from a central red point to form a circular pattern. The shapes resemble a vibrant, stylized flower or mandala against a white background. The branching lines get smaller and smaller as they reach the edge of the circle, and from slightly before then to the edge of the print the background is a bright, vibrant yellow.",,1965,1983,7,color lithograph on Rives Type IV paper | Print,"https://api.nga.gov/iiif/63f5ec6b-ea6d-4e29-9917-b84cca9c317c/full/!200,200/0/default.jpg","[""M02""]"
W345,5,Desert Flower,"The image displays white lines forming a circular pattern on a dark background. The lines resemble a network of branches spreading outward from a central point. The design evokes natural patterns, reminiscent of a snowflake or leaf structure.",,1965,1983,7,lithograph in black and white on wove Rives BFK paper | Print,"https://api.nga.gov/iiif/ae4da0e0-e25f-4b1b-9b7d-aef97a69c4b9/full/!200,200/0/default.jpg","[""M02""]"
W346,5,Desert Flower,,,1965,1983,7,lithograph (stone) in black on German Etching paper | Print,,"[""M02""]"
W347,5,Desert Flower,,,1965,1983,7,lithograph (stone) in black on Rives BFK Type V paper | Print,,"[""M02""]"
W348,5,Plane Tree,"The image shows an abstract composition with a central black smear flowing vertically from top to bottom, flanked by two splatter-like forms on opposite sides. The central shape resembles a winding river, while the side splatters look like ink blotches or starbursts. This creates a dynamic and fluid impression, with contrasting light and dark areas conveying motion and form.",,1965,1983,7,lithograph (stone) in black on white Arches paper | Print,"https://api.nga.gov/iiif/9d0109b7-45ac-49fd-9032-21e931ba4062/full/!200,200/0/default.jpg","[""M02""]"
